章,スライド番号,スライドタイトル,スライド用テキスト,ミニ台本
3,11,章タイトルスライド,"図形で使える3つのプロンプトの型
方針・補助線・添削の3軸でAIを動かせるようになる",この章では、図形分野で繰り返し使える3つのプロンプトの型を順番に渡していく。「方針を立てさせる」「見えない線を引かせる」「自分の解答を添削させる」。それぞれ、なぜこの型が必要で、何を引き出したいのか、別事例ではどう使うのかをセットで解説する。実演はしない。実戦は次の講座で行うため、ここでは型を頭にインストールするのが目的だ。3つの型を抜けたとき、自分の言葉で「どんな時にAIに何を聞くか」を説明できる状態になっている。
3,12,方針プロンプト: 答えではなく選び方を聞く,"ポイント:
目的を明示する
「最初の考え方のステップ」と粒度を指定
AIは思考の手順を返す",1つ目の型は方針を一緒に立てさせるプロンプトだ。図形問題で最初に詰まるポイント、それは「どの定理を使うか」の選択だ。合同条件3種、相似条件3種、円周角の定理も複数。選択肢が多すぎて思考がフリーズする。ここでAIに聞くのは「答え」じゃない。「選び方」だ。「最初の考え方のステップを教えて」と粒度を指定するとAIは思考の手順を返してくれる。等しい辺や角に印をつける、共通辺や対頂角を探す、というように自分で進めるための地図が描かれる。あなたが自走できる位置までAIが地図を広げる、それがこの型の本質だ。
3,13,方針プロンプト具体例,三角形の合同証明で、どの合同条件を使えばいいかいつも迷う。問題文から条件を絞り込むための、最初の『考え方のステップ』を教えて,このプロンプトのポイントは2つ。1つ目は「問題文から条件を絞り込むための」と目的を書いていること。2つ目は「最初の考え方のステップ」と知りたい粒度を指定していること。こうするとAIは答えではなく思考の手順を返す。「まず等しいと言われている辺や角に印をつけよう」「次に共通辺や対頂角を探そう」と、自分で進めるための地図を描いてくれる。プロンプトに目的と粒度を入れる、たったこれだけでAIの返答の質がまるで変わる。同じAIでも聞き方ひとつで動き方が180度違うことを、まず体感してほしい。
3,14,方針プロンプトは円周角・相似でも効く,"別テーマでの活用:
円周角: 3つの定理から優先順位を出させる
三角形の相似: 砂時計型・ピラミッド型のどちらから疑うか",この型は合同証明だけじゃない。たとえば円周角の定理。「直径に対する円周角は90度」「同じ弧に対する円周角は等しい」「中心角と円周角の関係」の3つを、どれから試すべきかAIに聞ける。三角形の相似でも、平行線がある図で砂時計型とピラミッド型のどちらから疑うか整理してもらえる。「どれを使うか当てて」ではなく「どう絞り込むか整理して」と頼むのが鍵だ。テーマが変わってもプロンプトの構造は変わらない。「目的＋知りたい粒度」を明示するだけで、図形のあらゆる問題でこの型が効く。
3,15,補助線プロンプト: パターンと狙いを聞く,"ポイント:
補助線はひらめきではなく型
「狙い」を聞くと目的意識が生まれる
既知の定理を使える形を作る道具",2つ目の型は見えない補助線を引かせるプロンプトだ。多くの中学生は補助線を「謎のひらめき」だと思っている。でも実際は違う。補助線は「型」だ。知っている定理や公式を使える形を、人工的に作り出すための道具。直角三角形を作りたい、平行線関係を作りたい、合同や相似の材料を増やしたい。目的が先で線は後だ。「パターン」と「狙い」をセットで聞くと目的意識が生まれて、どこに引けばいいかが見えてくる。狙いが分かれば線は引ける。
3,16,補助線プロンプト具体例,図形の問題で補助線をどこに引けばいいか全然分からない。補助線を引くときの『よくあるパターン』や『狙い』を3つくらい挙げて,AIはこんな答えを返してくれる。1つ目、平行線を引く。台形の面積や中点連結定理を使いたいときに有効。2つ目、延長線を引く。折れ曲がった図形で平行線の錯角を作りたいとき。3つ目、垂線を下ろす。直角三角形を作って三平方の定理を使いたいとき。型と狙いを整理することで補助線は再現可能なものになる。「あ、自分は今、直角三角形を作りたいんだ」という目的意識さえ持てば、線を引く位置は自ずと決まる。ひらめきから引き出しへ、これが補助線攻略の本質だ。
3,17,補助線プロンプトの応用例,"台形の面積→底辺に平行線を引いて分割
四角形の内角和→対角線で2三角形に
円接線問題→中心と接点を結ぶ垂線",実際の問題でどう使うか。台形の面積を求めたいとき「補助線を1本引くなら、どこに引くのが自然？」と聞けば、底辺に平行な線を引いて三角形と平行四辺形に分割する案が返ってくる。四角形の内角和なら対角線で2つの三角形に分ける案。円の接線問題なら中心と接点を結んで直角三角形を作る案。AIから方向性をもらって、自分の手で線を引く流れだ。これを繰り返すと引き出しの数が増えていく。引き出しが増えれば初見問題でも「あの型が使えそう」と当たりが付くようになる。これが補助線力の正体だ。
3,18,AIの画像生成は補助・本線はテキスト,"Geminiの図解は概念イメージ用
頂点ラベルや角度は厳密ではない
メインは言葉での壁打ち",もう1つ、補助線まわりで知ってほしいことがある。Geminiは図形の画像を生成できる。「三角形ABCに補助線ADを引いた図を作って」と頼むと、図を出してくれる。ただし正直に言う。AIの画像生成はまだ数学的に厳密な図を作るのが苦手だ。頂点のラベルが位置ずれしたり、直角が鋭角に見えたり、勝手な装飾が入ったりする。だからイメージ補助として使う。メインは言葉での壁打ちだ。画像は手がかり、言葉が本線。この使い分けを最初から徹底すれば、AI画像の限界に振り回されずに学習を前に進められる。
3,19,添削プロンプト: 採点官目線で見せる,"ポイント:
「コーチとして厳しく」と役割指定
優しいモードを封じる
短くても・途中まででも投げてOK",3つ目の型は自分の解答を添削させるプロンプトだ。証明を書いてみたけど自信がない。先生は時間外。親に見せても数学は分からない。ここでAIの出番。「コーチとして厳しく」と役割を指定するとAIは採点官の目線で重箱の隅までチェックしてくれる。優しい「だいたい合ってます」を封じるのが鍵だ。さらにAIに送る証明は完璧じゃなくていい。短くても、途中まででもいい。この心理的ハードルの低さが添削プロンプトを最強にする。完成させてから見せようと構えると、いつまでも送れない。
3,20,添削プロンプト具体例,今から自分で書いた証明を送るから、論理の飛躍がないか、もっとシンプルに書ける部分がないか、コーチとして厳しく添削して,このプロンプトのポイントは「コーチとして厳しく」だ。これがないとAIは優しいモードで流してしまう。送る証明は完璧じゃなくていい。短くてもいい、途中まででもいい。「ここまでは書いたけど、ここで詰まった」を投げてもいい。完成させてから見せようと構えるといつまでも送れない。まず書く。書けるところまで書く。そしてAIに渡す。「この書きかけの続き、どう進めればいい？」と聞く。これが、自走力を育てる最速の進め方だ。完璧主義を捨てて未完成のまま渡す勇気を持つ。それがこの型の使いどころだ。
3,21,添削で気付ける典型ミス,"「明らかに」で論拠を飛ばす
対応する頂点の順序が逆
仮定の使い忘れ",AIが指摘してくれるよくあるミスはこんな感じ。「『明らかに』で論拠を飛ばしている。底角定理よりと根拠を明示しよう」「△ABCと△DEFで、AにはDが対応する順序を守ろう」「仮定の1つが使われていない。本当に不要か、使い忘れか確認しよう」。こうしてあなたの証明が「他人に伝わる証明」に仕上がっていく。塾より気軽だし、間違っても誰にも笑われない。何度でも見せられる。何度でも指摘してもらえる。この反復が論理的に書く力をじわじわと、しかし確実に育てていく。
4,22,章タイトルスライド,"丸暗記から自走への一歩
型を3つ手にしたあなたが次に踏み出す場所",この章では、3つの型と1つの共通原則を整理し、次の実務編へ橋渡しをする。「答えは言わずに、次の一歩だけ教えて」という共通原則は、3つの型すべてに通底する自走の極意だ。教養編で得たのは「思想」、次の講座で得るのは「対話の感覚」。この2つが揃ってはじめてAI学習が機能する。最後にあなたへのエールで締めくくる。
4,23,3つの型と1つの共通原則,"方針を立てさせる
補助線を引かせる
解答を添削させる
+ 共通: 答えは聞かず、次の一歩だけ聞く",ここまで3つのプロンプトの型を渡した。1つ目、方針を立てさせる。2つ目、補助線を引かせる。3つ目、解答を添削させる。そしてもう1つ、全部に共通する原則がある。「答えは言わずに、次の一歩だけ教えて」。このフレーズをどの型にも忍ばせる。AIに全部書かせた瞬間、脳は止まる。1歩先だけ聞く。次の1歩をまた聞く。これを繰り返す。これが自走の極意だ。3つの型は道具、1つの原則は使い方の心得。両方セットで初めてAI学習が機能する。
4,24,丸暗記から卒業する3ステップ,"プロと同じ思考プロセス:
方針を立てる
補助線を引く
自分で書いて添削してもらう",この3つの型と1つの原則を使いこなせるようになれば、もう「解答の丸暗記」という苦しい学習から卒業できる。「方針を立てる→補助線を引く→自分で書いて添削してもらう」というプロと同じ思考プロセスを、AIと一緒に回せるようになる。図形は「ひらめいた人だけが勝つゲーム」じゃなく「型を持った人から強くなる競技」だ。才能の差じゃなく型の差。型を持つ人は初見問題でも何から考えるかが分かる。あなたも今、その型を3つ手にしている。
4,25,知っただけでは意味がない・次は実戦,"次の講座: 図形をAIで解きほぐす（やり方）
三角形の合同証明を題材
対話フローを丸ごと追体験",ただし、ここまでは「思想」の話だ。知っているだけでは意味がない。実際にAIとキャッチボールをして、はじめて力になる。次の講座「図形をAIで解きほぐす（やり方）」では、今渡した3つの型を使って、三角形の合同証明という実際の問題に、AIと一緒に取り組む。どう問いかけて、どう返ってきた答えを次の質問につなげるか。連続的な壁打ちのプロセスをスライドの上で追体験してもらう。型を持つだけでなく、型を実戦で使う感覚を、次の8〜12分で身体に入れにいく。
4,26,図形の証明、AIと一緒に考えていい,"今のあなたへ:
許可は手に入れた
あとは対話を始める番
続きで待っている",今のあなたは「図形の証明、AIと一緒に考えていい」という許可を手に入れた。次は、その許可を使って実際に対話を始める番だ。図形は孤独な戦いじゃない。AIという24時間動く相棒が、すでにあなたの隣にいる。あなたが問いを投げれば思考は動き出す。あなたが手を動かせば証明は組み上がる。それを伴走するのがAIの役目だ。続きで待っている。次の動画で実際の対話の教室を一緒に歩いていこう。行こう。
