章,スライド番号,台本
3,12,3ラウンドの全体像を先に伝える。ラウンド1は情報整理。y＝200x＋1000の傾きと切片の意味をスマホ料金プランの文脈で読む。ラウンド2は視覚化。基本料金を極端に振って、傾きと切片の動きを体で掴む。ラウンド3は文章条件の翻訳。「月5000円以内」という条件をグラフ上の位置と数式に翻訳する。3ラウンド回し終わったとき、答えと理由が同時に手に入っている状態になる。
3,13,ラウンド1、情報整理。最初の質問はこう投げる。「y＝200x＋1000という式から最初に読むべき2つの情報は何？どうしてその2つが大事なのか、スマホ料金プランの文脈で教えて」。AIは、傾き200が1GBあたりの単価、切片1000が基本料金、と返してくれる。文脈を指定したから、抽象的な数学用語じゃなくスマホ料金の言葉で整理してくれる。
3,14,ここで終わらせない。追撃。「じゃあ傾きが0だったらどんな料金プラン？切片が0だったら？」AIは、傾き0なら使っても使っても料金が変わらない完全定額、切片0ならギガに完全比例する従量制と返す。極端なケースを振るだけで、傾きと切片の意味が一気に立体的になる。単にラベルを知るのと、動きの中で意味を掴むのでは全く違う。追撃1発で情報整理の威力が倍になる。
3,15,ラウンド2、視覚化。「もし割引クーポンで基本料金が−500円になったらグラフはどう動く？坂道に例えて教えて」。AIは、グラフ全体が下に500下がる、坂道の出発点が地面より下から始まる、と返してくる。坂道という具体例を指定したから、言葉が抽象的な平行移動じゃなく身体感覚に変換されて返ってくる。
3,16,追撃。「逆に、使っても使っても料金が変わらないプランだったら？」AIは傾きゼロで水平な線、地面と平行な坂道と返す。極端ケースを振るだけで、傾きと切片の動きが完全に体感できる。比例定数がプラスのとき・マイナスのとき・ゼロのとき、どう動くかが頭の中でアニメーションになる。視覚化の聞き方は、身近な例えと極端ケースの組み合わせで一番刺さる。
3,17,ラウンド3、翻訳。「月の料金を5000円以内に収めたいという条件は、このグラフ上ではどこを指してる？」AIは、y＝5000の水平線を引いて、その線とグラフが交わるxの値までが条件を満たす範囲、と返してくる。言葉の条件が、グラフ上の「水平線と交点」という具体的な位置に翻訳された瞬間だ。これで文章題が絵に変わる。
3,18,追撃。「交点のxはどう求めるのが一番早い？」AIは、5000＝200x＋1000をxについて解けばいい、と返す。自分で計算するとx＝20。月20GBまで使えると出る。大事なのは、答えの数字より「なぜその答えになるのか」が全部自分の言葉で説明できる状態になっていることだ。y＝200x＋1000は料金の式、切片1000は基本料金、y＝5000は条件の水平線、交点のxが答え。この翻訳の鎖が通ったことが、3ラウンドの勝利だ。
4,19,最後の章だ。3ラウンドで手に入れたものの整理、対話を残す次の一手（NotebookLM）、そしてあなた自身が今日やる1つのアクション。ここまで揃えば、関数は「読めないパズル」から「読みにいくパズル」に変わっている。
4,20,3ラウンドのキャッチボールで手に入れたものを整理する。答えは20GBまで、というだけじゃない。そこに至る式・グラフ・条件の翻訳の鎖が全部通った。そしてこの3ラウンドの聞き方は、関数のどんな問題にも再現できる。答えと理由と再現性が、同時に手に入った状態になっている。これが関数を解きほぐすということだ。
4,21,ただし、このままだと1週間後にはほぼ消える。解決策はシンプルで、対話を検索できる形で残すこと。Google提供のNotebookLMというツールが相性がいい。自分がアップした資料だけをソースに答えてくれるから、過去の自分の対話を次の問題に再利用できる。深掘りは別講座「NotebookLM編」に渡してあるので、興味があればそちらに進んでほしい。
4,22,ここからはあなたの番だ。やることは1つだけでいい。手元にある関数の問題を1つ選ぶ。定期テスト範囲でも、宿題でも、教科書の例題でも何でもいい。Geminiを開いて、情報整理のプロンプトを投げる。「この問題の式から最初に読み取るべき情報は何？どうしてそれが大事なの？」これだけ。ピンとこなかったら視覚化の聞き方で坂道に例えてもらう。自分なりに掴めたら翻訳の聞き方で条件をグラフに直してもらう。1回通すだけで「あ、自分でもやれるな」が必ず残る。
4,23,関数は、意味を読まずに代入だけしていると、いつまでも読めないパズルのままだ。でも3つの聞き方と対話のルールを手にしたあなたは、もう読みにいける側にいる。この違いは3ヶ月後に圧倒的な差になって返ってくる。AIは最強の相棒だけど、主役は最初から最後まであなただ。迷ったらこの動画と前講座を何度でも見返してくれていい。完璧を目指さずに、まず1回通すことだけ意識してほしい。全力でいってらっしゃい。
