章,スライド番号,台本
3,11,ここで1つ注意。図を見て「何か平行っぽい」「長さが同じに見える」と感覚で進まないこと。図形は見た目が罠になる。問題文に書かれていない見た目を根拠にすると証明はそこで崩れる。まず信じるのは図の雰囲気じゃなくて問題文で与えられた条件。ここを起点にする。図は情報を整理する道具であって、判断の材料じゃない。判断の材料は問題文の条件と、そこから論理的に導ける性質だけだ。
3,12,Step 1。学習者がAIに最初の一投を投げる。スライドを見てほしい。「三角形の合同証明で、どの合同条件を使えばいいかいつも迷う。問題文から条件を絞り込むための、最初の考え方のステップを教えて」。これがStep 1のセリフだ。教養編で渡した「方針を立てさせる」プロンプトが、ここで実戦投入されている。粒度をハッキリ指定しているのがポイントだ。
3,13,この問いかけの狙いはピンポイントの答えじゃない。「考え方のステップ」と手順を聞いていることに注目してほしい。もしここで「この問題、どう解けばいい？」と丸投げするとAIは完成された証明を返してしまう。それを書き写して終わりで記憶にも残らない。あえて「最初の一歩だけ教えて」と知りたい範囲を狭めることで、AIを解答係から整理役に変える。これがこの講座の核心だ。
3,14,Step 2。AIから返ってくる回答だ。「まずは問題文で『等しい』と言われている辺や角（仮定）を図に書き込むのが第一歩」。シンプルすぎて拍子抜けするかもしれない。でもこれこそがプロの指導者が最初にやらせる作業だ。問題文を目で追うだけだと情報が頭の中で迷子になる。だから紙の上で図に印をつける。等しい辺には同じマーク、平行な辺には同じ矢印。情報を視覚化する。これが土台だ。
3,15,ここで一段深く見てほしい。AIは合同条件そのものをまだ言っていない。これは親切で同時に厳しい。先に合同条件を教えてしまうとあなたはそこへ無理やり合わせにいってしまう。でも本来は逆だ。条件を見てからどの合同条件が自然に立ち上がるかを判断する。「何で合同か」を決める前に、「今ある材料は何か」を確定させる。焦らず、雑にしない。この姿勢が後半の安定感を作る。
3,16,あなたも今、紙を用意して、この問題の図を描いて、AB=CDの辺に印を入れて、AB∥DCの矢印を書き込んでみてほしい。できただろうか。仮定は2つ、図に記入できた。でも合同条件を使うには辺や角の情報が3つ必要だ。あと1つ、何かが足りない。手元の図を見てもすぐには見つからない。ここで多くの人が止まってしまう。でも今日のあなたには止まらない武器がある。次の問いを作る武器だ。
3,17,Step 3。学習者の深掘りの問いかけ。「仮定は書き込めたけど、あと1つの条件が見つからない。隠れた条件を見つけるコツはある？」。これがStep 3のセリフだ。Step 2のAI回答を受けて、できたこととできていないことを区別して次の問いを作っている。「仮定は書き込めた」と現状報告し、「あと1条件が見つからない」と詰まりを伝え、「コツ」と引き出したい情報を明示する。
3,18,この問いかけはとても優秀で、答えそのものじゃなく探し方を聞いている。1問だけ解くための会話じゃない。次の問題にも持っていける見方を取りにいっている。図形で伸びる人はひらめいた人じゃなく、チェック項目を増やした人だ。だから「教えて」より「見つけるコツはある？」が強い。あなたが主役で、AIは補助輪。この位置関係を最後まで崩さないようにしよう。
3,19,Step 4。AIからの回答だ。「共通な辺、対頂角、平行線の錯角などから探す」。答えそのものじゃない。チェックリストだ。隠れた条件を探すときに見るべき3つの候補を返してくれた。ここから先はあなたの頭で動く番。AIはチェックリストを渡しただけで、見つけるのはあなただ。この役割分担が自走力を育てる構造になっている。
3,20,消去法で順番に見ていこう。「対頂角は？」この問題では2直線の交点が出てこないから、該当なし。「共通な辺は？」あった。対角線AC、これは△ABCと△CDAの両方で使われている辺だ。「平行線の錯角は？」AB∥DCと与えられているから、対角線ACが横切って∠BACと∠DCAが錯角の関係になる。3つの候補のうち2つが今回の問題で活きる。
3,21,条件が3つ揃った。AB=CD（仮定）、AC=CA（共通辺）、∠BAC=∠DCA（錯角）。辺、角、辺の並びだ。2辺とその間の角が等しい。2辺夾角相等、SASで合同が言える。たった4回のやりとりで自分の力で方針を組み立てた。答えはAIに書かせていない。でも1人では詰まったはずの場所を越えている。AIが結論を押しつけたんじゃない。あなたがチェックリストをもらって自分で気づいた。この順番に価値がある。
3,22,今回の対話で得たチェックリストは1問だけのものじゃない。線が交わっていれば対頂角を疑う。平行線があれば錯角や同位角を疑う。重なっている辺や角があれば共通を疑う。こうして図形が「運ゲー」じゃなく「探索ゲー」に変わる。チェックリストを持っているから何を探すかが分かる。何を探すかが分かれば、見つかる確率が跳ね上がる。これが今日の最大の収穫だ。
3,23,ここでGeminiの画像生成にも触れておこう。Geminiは「四角形ABCDに対角線ACを引いて色分けした図を作って」と頼めば、視覚化した図を返してくれる。頭の中で図をイメージするのが苦手な人には強い味方だ。ただし正直に言う。AIの画像生成はまだ数学的に厳密な図を作るのは苦手だ。頂点ラベルが位置ずれしたり、直角が鋭角に見えたりする。だからイメージの補助として使う。メインはテキストでの壁打ちだ。
3,24,ここで絶対にやってはいけない使い方を2つ伝える。1つ目、「この証明を全部書いて」とAIに丸投げすること。これをやるとAIは完成された答案を返してくる。キレイな証明が一瞬で手元に来る。気持ちいい。でもそのときあなたの脳は何も動いていない。書き写して終わり。次の似た問題が出たら、また手が止まる。丸投げはその場の安心と引き換えに自走力を手放す行為だ。劇薬だと思ってほしい。
3,25,2つ目、図の見た目で進めること。「この角、何となく同じに見える」は証明の根拠にならない。証明は見た目の直感をそのまま出す場所じゃなくて、根拠を言葉に変換する場所だ。図は情報を整理する道具であって、判断の材料じゃない。判断の材料は問題文で与えられた条件と、そこから論理的に導ける性質だけだ。「明らかに」「どう見ても」は証明の中では使えない。出てきたら根拠を言語化する習慣をつけよう。
4,26,この章では今日の本体、自走の極意を整理する。AIに全部書かせない、自分の現在地を言葉にして1歩先だけもらう、これが核心だ。さらに対話ログをNotebookLMにストックして学習資産にする運用、次SETへの橋渡しを行う。最後にあなたへのエールで締めくくる。
4,27,今回の本体はこれだ。図形でAIを使うときは全部を書かせない。あなたが今どこで止まっているかを言葉にして、その1歩先だけをもらう。これが自走の極意だ。証明問題はひらめいた人が勝つ世界に見えるかもしれない。でも実際は条件を整理して足りない1つを探して根拠をつないでいく作業だ。その途中でAIはかなり優秀な壁打ち相手になれる。何度でも聞けるし自分のペースで進められる。
4,28,対話ログや詰まりやすいポイント、使えた合同条件のメモはそのまま捨てるにはもったいない。NotebookLMのようなツールにストックすると、あとから「あの問題、どう解いたっけ」と振り返れる形になる。「対話ログ・詰まりポイント・使えた見方」の3点セットで保存しておくと自分専用の復習材料になる。詳しくは別の講座、NotebookLM編で扱っている。気になったらそちらもぜひ見てほしい。
4,29,今回はここまでになる。役割を分けよう。私の役割は流れを示すこと。ここから先、実際に1問ずつ前へ踏み出すのはあなたの役目だ。教科書を開いて、AIの画面を開いて、Step 1の問いを打ち込む。冷たいかもしれないけど、あなたの代わりに図形を解いてあげることは誰にもできない。でもあなたの横で一緒に考え続けることはAIが毎日何時間でもやってくれる。1人じゃない。でも最初の一歩はあなたから。
4,30,図形は才能がある人だけの科目じゃない。見方を持った人から強くなる。あなたはもうその入り口に立っている。チェックリストも、4ステップの対話も、自走の極意も、今日全部手に入れた。次は実際にあなたの問いでAIを動かしていこう。証明用紙を開いて、教科書を開いて、AIの画面を開いて、Step 1の言葉を打ち込む。それだけだ。たったそれだけで図形は別の景色を見せ始める。行こう。いってらっしゃい。
