章,スライド番号,台本
3,4,型②、テスト生成型。自分の教材から問題を作らせる型。これには2系統ある。1つ目、チャットで指示する方法。「読み込んだ資料の中から、私が間違えやすそうな穴埋め問題を5問作って」と聞けば、自分専用の予想問題集が手に入る。2つ目、Studio機能を使う方法。NotebookLMの画面右側にStudioというパネルがあって、ワンクリックでクイズやフラッシュカードを生成できる。「Got it / Missed it」で進捗も記録される。チャット型は自由度、Studio型は速度で使い分けよう。
3,5,型③、比較整理型。複数の資料の違いを明らかにする型。「Aの参考書の解き方と、私のノートの解き方の違いを説明して」と聞くと、2つの視点が整理される。参考書とノートで解き方が違う時や、歴史で「鎌倉幕府と室町幕府の違いがごっちゃ」みたいな時、「この2つの違いを表にして」と頼めば一発だ。複数資料を横断で見るのは、教材が整理されているNotebookLMだからこそできる聞き方。
3,6,3つの型をいつ使うか整理する。理解確認型は授業で分からなかった箇所を深掘りする時。テスト生成型はテスト前日の総仕上げ。自分の教材そのものから予想問題が生まれるから、市販の問題集と違って完全に自分の範囲に合う。比較整理型は、参考書とノートで解き方が違う時。「参考書は公式Aで解いてるけど、先生は公式Bで解いてる。何が違う？」と聞けば、両方の背景が見える。場面で選ぶだけで効果が変わる。
3,7,精度を上げる2つのコツを渡す。1つ目、「ソースに基づいて」を明示する。え、NotebookLMって元から資料だけで答えるんじゃないの？と思うかもしれない。その通りだ。ただ現実はもう少し複雑で、Studio機能の要約や抽象的な質問では、たまに一般論が混ざることがある。だから保険として「必ず資料内の記述に基づいて答えて」と一言足す。コストゼロで精度が一段上がる。2つ目、答えが返ってきたら引用マークをクリックする習慣。「なるほど、先生のプリントのここに書いてあるのか」と元資料で確認する。このファクトチェックの往復が本当の理解を生む。AIを入り口にして自分の教材をしゃぶり尽くす。面倒に感じるかもしれないが、これをやる人とやらない人で、3ヶ月後の学習定着度に圧倒的な差が出る。
3,8,このスライドで伝えたいのは、Ch3で3つの型は手に入ったが、人格設定はNotebookLMではなく別のツールに任せるべきだということだ。なぜ別のツールが必要か。理由は、NotebookLMは教材を読ませるのは完璧だけど、「先生の人格」や「教え方のルール」を細かく設定するのは苦手だからだ。「優しく教えて」「ヒントだけで答えは言わないで」みたいな複雑な指示は、毎回質問に書き添えるのはしんどい。できれば最初に一度「こう教えて」とルールを決めて、あとは勝手にそのルールで動いてほしい。その役割を担うのが、Gemsという別のツール。NotebookLMの弱点を補うのがGems。ここから先、その組み合わせ方を見ていこう。ここまで来れば、あとはもう一歩だ。
4,1,この章では、NotebookLMの弱点である「人格・教え方の設定」をGemsで補い、ハイブリッド運用する設計思想を学ぶ。NotebookLMに教材の知識を、Gemsに先生の人格を担当させる。この分業が単体利用の限界を超える。無料プランの制限と、その代替案も押さえる。
4,2,NotebookLMは教材の理解は得意だが、「どう教えるか」を自分でコントロールするのは苦手だ。「答えを直接教えないでヒントだけ出して」「関西弁で教えて」「毎回褒めて終わって」みたいな指示を質問のたびに打つのは、しんどい。できれば最初に一度「こう教えて」とルールを決めて、あとは勝手にそのルールで動いてほしい。この「先生の人格と教え方のルールを固定する」役割を担うのがGemsだ。
4,3,このスライドで伝えたいのは、GemsはGeminiの中で「自分専用の先生の人格」を作れる機能で、カスタムGem作成は無料プランでも使えるということだ。なぜこれが強力か。理由は、一度プロンプトで設定すれば、あとは話しかけるだけで同じキャラが返してくれるからだ。Gemsは、Geminiの中で「あなたはこういう性格で、こういうルールで話してください」という事前設定を細かく作り込めるカスタマイズ機能。たとえば「ソクラテス式で問いかける家庭教師」「スパルタで励ましてくる鬼コーチ」「中学生に優しく例え話で教える先生」──そんなペルソナを一度設定すれば、毎回指示しなくても同じ品質で応答してくれる。ポイントは、このカスタムGem作成機能自体は2025年2月以降、無料プランでも使えるようになっていること。まずGems本体は無料で使える、と押さえてほしい。次は、この2つをどう役割分担させるかを見ていこう。
4,4,このスライドで伝えたいのは、NotebookLMとGemsの役割分担は「知識」と「人格」で、ベストな連携形と無料の代替案の両方があるということだ。なぜこの分担が最適か。理由は、両者の弱点を互いに打ち消し合うからだ。NotebookLMには「教材の知識」を担当させる。教材に基づく正確な回答、要約、問題生成──情報整理の作業はこっち。Gemsには「先生の人格」を担当させる。自分好みのキャラ、教え方のルール、コミュニケーションの型──対話の設計はこっち。そしてここが今回の核心だ。ベストな使い方は、Gem Builderの「知識」欄にNotebookLMを直接接続する方法。ただしこの直接連携は、Google AI Pro以上の有料プランが必要になる。でも代替案がある。2タブ並行＋コピペなら、完全無料で同等の運用ができる。理想形の連携と、無料でいける代替案、この2つを知っておけば、どんな環境でも学習環境は構築できる。次のスライドから、それぞれのパターンを具体的に見ていこう。
4,5,組み合わせパターン①、2タブ並行型。ブラウザのタブを2つ並べて開く。左側のタブでNotebookLMを開き、「第3章の要点を5つにまとめて」で要約を作る。その要約をコピーして、右側のタブで開いたGems──「厳しめのスパルタ家庭教師」とか「ソクラテス式で問いかける先生」とか自分が設定したキャラ──にペーストする。「この要約について一つずつクイズ形式で聞いて。ヒントは出すけど答えは言わないで」と指示する。教材の正確さはNotebookLMが、対話の設計はGemsが担う。
4,6,このスライドで伝えたいのは、パターン②はGem BuilderでNotebookLMを知識ソースに接続する方法で、有料プラン限定の最上位版だということだ。なぜこれが上位版か。理由は、1つのツールの中で完結するから、コピペの手間がなくなるからだ。2025年12月から、Geminiアプリ内のGem Builder──Gemの設定画面──で、NotebookLMのノートブックを「知識ソース」として接続できるようになった。自分で作ったGems（先生キャラ）の中から、あなたのノートブックの内容を直接参照して答えられる。たとえば「厳しめの家庭教師Gem」に「期末テスト用 数学」のノートブックを接続すれば、教材に基づいて厳しく教えてくれるAIが一つで完結する。ただし、この連携機能はGoogle AI Pro以上の有料プランが必要だ。ここは正直に伝えておく。でも安心してほしい。パターン①（2タブ並行＋コピペ）で、運用上は完全に同等のことができる。機能の差は手間の差であって、質の差ではない。設定の具体的な手順は「Gems編」で扱う。
4,7,ここまでで、NotebookLMとGemsの役割分担が見えた。NotebookLMには教材の知識を、Gemsには先生の人格を任せる。この分業が単体利用では届かなかった領域に連れて行ってくれる。連携機能が使えるなら一つで完結するし、無料プランで制限されるなら2タブで並行利用すればいい。どちらでも設計思想は同じ、知識と人格を分ける。Gemsの具体的な作り方は「Gems編」で扱う。次は最後のテーマ。作った環境をどう維持・成長させるかだ。
5,1,最終章では、作った学習環境を運用サイクルで育てるマインドセットを学ぶ。AIツールは「作って終わり」にすると3ヶ月で放置される。NotebookLMとGemsの本当の価値は、あなたの学習記録が蓄積されるほどAIが賢くなる点にある。2つのアップデートサイクル、弱点克服ノートへの進化、罪悪感へのマインドセット、そして継続のコツを手に入れる。
5,2,ここまでの4章で「自分専用の学習環境」の作り方は手に入った。でも実はここからが本番。学習は止まらない。新しい単元に入れば前の教材は古くなるし、テストが終われば前の範囲はいったん役目を終える。次の単元の教材を追加しないと、あなたのNotebookLMは「先週のあなた」しか知らない助手のまま。多くの人がAIツールを「作って終わり」と思うから、3ヶ月後には放置状態になる。この落とし穴を避ける運用サイクルを、最後に渡す。
5,3,運用サイクルの骨格はシンプル。2つのタイミングで動くだけだ。1つ目、新単元スタート時にソース追加。新しい章、新しい学期が始まったら、その単元のプリントやノートを追加する。これでAIは常に「今あなたが学んでいる範囲」を把握する。2つ目、テスト後の整理。テストが終わったら、その範囲のソースはアーカイブに回す。ノートブックを複製して「2026年1学期 数学」と名前をつけて残し、現行のノートブックはスリムに保つ。これだけでいい。
5,4,このサイクルが回ると何が起きるか。あなたのNotebookLMは、単なる教科書のコピーから、「あなたが過去にどこでつまずき、どう理解したかがすべて詰まった、世界に一つの弱点克服ノート」へ進化していく。4月に書いたノート、6月に解いたプリント、9月のつまずきメモ──全部が蓄積されたAIは、世の中のどんな有料家庭教師よりも「あなたを知っている」存在になる。これが今までの学習にはなかった体験だ。
5,5,ここでマインドセットを変えてほしい。AIを使って勉強することに「ズルをしている」「楽をしている」と罪悪感を感じる中高生は少なくない。でもここまで学んだあなたなら分かるはずだ。自分の教材を整理し、思考を深める質問を投げかけ、ツールの弱点を補い合う──これはズルじゃない。教科書の表面をなぞるだけだった勉強を、もっと深く立体的に理解するための「虫眼鏡」を手に入れただけだ。堂々と活用しよう。
5,6,継続のコツを渡す。まず週1回10分の「ソース更新の儀式」。毎週日曜日の夜とか土曜日の午前とか、決まった時間に「今週のノート・プリントをスキャンして追加する」を実行する。スマホのカメラでパシャッと撮ってアップロードするだけ。10分で終わる。この習慣が環境を古くさせない。単純だけど、これを「週末の決まった時間」に固定できるかが、半年後に差がつくポイントだ。
5,7,もう一つのサイクル、テスト後の断捨離。テストが終わったら、ノートブックを複製して「2026年1学期 数学 期末」のような名前でアーカイブする。現行のノートブックからは使わないソースを削除する。これで無料プランの50ソース上限に引っかからない。そしてもう一つ大事なのが、これを「作業」と思うと続かないこと。「自分の学習記録を残していく」と捉え直す。ノートをスキャンする瞬間は、その週の学びを振り返る瞬間でもある。
5,8,全6章を通じて学んだのはNotebookLMの機能じゃない。学んだのは「自分の学習環境を自分で設計する」という発想だ。塾の先生でも高額な家庭教師でもなく、自分の手元にある教材と自分の学習記録から、AIを育てる。この発想はこれまでの勉強にはなかった。誰かに教わるか、自分一人で頑張るかの二択。でもこれからは「自分の教材を持ったAIと一緒に学ぶ」という第三の道がある。そしてその道は、あなたの学習記録が蓄積されるほど強くなる。
5,9,動画を見終わったあなたに、最初の一歩を渡す。今日、教材を1つだけでいいからNotebookLMにアップロードしてほしい。今日の授業ノート、今日配られたプリント、何でもいい。スマホで撮影してアップロードして、「この資料の要点を3つ挙げて」と聞いてみる。それだけで、この講座で学んだ全部が「体験」に変わる。見ただけで終わらせず、5分だけ手を動かしてみよう。
5,10,次のステップとして、「Gems編」の動画もあわせて見てほしい。この講座では、NotebookLMという「教材を持った助手」の作り方を学んだ。Gems編では、Gemsを使った「先生の人格」の設計方法を扱う。両方を組み合わせることで、この講座の最終形──知識と人格を分業させた学習環境──が完成する。片方だけだと片肺飛行。両方見て、はじめて最強の設計思想が手に入る。
5,11,ここまで見てくれて、ありがとう。講座ID、BOT-02_v3。タイトル「先生に教材を持たせる（NotebookLM編）」をSHIFT AIがお届けした。最後に伝えたいことを言わせてほしい。Ch0で話した「教科書と違う答えが返ってきて困った経験」──もう、そこには戻らない。今日から、あなたの教材を持った先生が、あなたの机の上にいる。疲れた夜中でも、テスト前の焦りの中でも、その先生はあなたの味方でいてくれる。あなたがAIを育てれば育てるほど、AIもあなたを育てていく。これは「AIに勉強を任せる」じゃない。「AIを、自分の学習の相棒として育てる」ということだ。これからの学びは、もっと楽に、もっと深く進んでいく。一緒にAIを活用して、勉強を楽にしていこう。いってらっしゃい。
