章,スライド番号,スライドタイトル,スライド用テキスト,ミニ台本
3,11,章タイトルスライド,"・何を持たせるかで、先生の質が決まる
・ソース選びと役割分担の設計思想",ここから本題。NotebookLMの使いこなしは、操作ではなく、何を渡すかで決まる。優先順位と、NotebookLM×Gemsの役割分担を押さえる。
3,12,机の上に何を置くのか、それを決めるのはあなた,"・なぜ、ソース選びですべてが決まるのか
・原因：渡した本が、助手の知識のすべてになる
・結果：本の質が、そのまま助手の賢さに直結する
・答えの精度を決めるのは、操作ではなくソース選び",NotebookLMがソース限定のAIだと分かった。ただし、仕組みを知っただけでは学習は変わらない。本当の問いは、じゃあ机の上に何を置くのか。助手は、渡した本のプロになる。渡す本の質が、そのまま助手の賢さだ。ソース選びがすべて、というのはこういう意味になる。
3,13,ソース選びの優先順位は、一次情報ほど強い,"・①最優先：自分の授業ノート・プリント
・②次点：教科書・学校指定参考書のPDF
・③補助：信頼できる範囲内の解説
・④NG：関係ないPDF・雑学・古い版の資料
・この順序を守るほど、答えの精度が上がる",優先順位はシンプルだ。最優先は自分の授業ノートとプリント。次点が教科書と学校指定の参考書。補助として、信頼できる範囲内の解説。そしてNGなのが、関係ないPDFや雑学、古い版の資料。この順序を守るほど、答えの精度が上がる。次のスライドから、一つずつ理由を見ていく。
3,14,最強の一次情報は、あなたの授業ノートとプリント,"・先生の板書メモ、自分がつまずいた箇所の書き込み
・そこには、今学んでいる解き方・順序・用語のクセが全部入っている
・教室で実際に使われた情報＝一次情報
・この一次情報を持たせるAIは、世界に一つしかない",最優先は、自分の授業ノートとプリント。これが最強の一次情報になる。先生の板書メモ、自分がつまずいた箇所の書き込み。そこには、あなたが今学んでいる解き方・順序・用語のクセが全部入っている。この一次情報を持たせるAIは、世界に一つしかない。それを作れる立場にいるのは、あなただけだ。
3,15,次点は、範囲を限定する教科書と学校指定の参考書,"・教材と違う解法が混ざらないよう、学習範囲を限定する役割
・学校指定の教材に絞ることで、答えが試験の出題範囲と一致する
・PDF化・画像化してまとめて登録する",次点は、教科書と学校指定の参考書のPDF。これは学習範囲を限定するためのものだ。教材と違う解法が混ざらないよう、範囲を明確にする役割。学校で指定された教材に絞ることで、答えが試験の出題範囲と一致する。PDF化や画像化をしてまとめて登録するのがおすすめだ。
3,16,関係ない資料を積むほど、答えはぼやける,"・ネットで拾ったまとめPDF、古い版の資料、雑学系の読み物
・これらを入れると、助手は混乱する
・「多ければ多いほど賢くなる」は、間違い
・余計な本を机に積まない＝ノイズを入れない",逆にNGなのが、ネットで拾った関係ないPDFや、古い版の資料、雑学系の読み物。これらを入れると、助手は混乱する。答えがぼやける。多ければ多いほど賢くなる、は間違いだ。関係ない本を机に積み上げないこと。余計なソースを入れない、これがノイズ対策になる。
3,17,NotebookLMだけでは、教え方の人格は作れない,"・教材の理解は完璧
・ただし、「優しく教えて」「一緒に考えて導いて」という教え方のルールは設計できない
・ここがNotebookLMの守備範囲の外側
・では、人格はどこで設計するのか",ここでNotebookLMの限界も正直に話す。教材の理解は完璧でも、「優しく教えて」「一緒に考えて導いて」みたいな、教え方の人格・ルールは作り込めない。ここはNotebookLMの守備範囲の外側だ。では、人格はどこで設計するのか。
3,18,人格を設計する場所、それがGems,"・Gems＝Geminiプラットフォームのカスタム機能
・先生の性格・話し方・教え方のクセを設計する側
・NotebookLMは教材を持たせる側、Gemsは人格を持たせる側
・役割は、はっきり別",答えはGemsだ。GemsはGeminiプラットフォームのカスタム機能で、先生の性格・話し方・教え方のクセを設計する側を担当する。NotebookLMは教材を持たせる側。Gemsは人格を持たせる側。役割は、はっきり別だ。この棲み分けが分かると、ツールの全体像がクリアになる。
3,19,NotebookLM（教材）× Gems（人格）＝ 最高の学習Bot,"・教材だけ持ったAI＝答えは正確、でも教え方は無機質
・人格だけ持ったAI＝話し方は温かい、でも内容がズレる
・両輪が噛み合って、初めて自分専用の先生が完成する
・本講座で押さえるのは、教材を持たせる側の判断軸",教材だけ持ったAIは、答えは正確でも教え方が無機質。人格だけ持ったAIは、話し方は温かくても内容がズレる。両輪が噛み合って、初めて自分専用の先生が完成する。本講座で押さえてほしいのは、教材を持たせる側の判断軸だ。Gems側は姉妹講座で扱う。ここでは、何を渡すかで、先生の質が決まる。これだけ覚えてほしい。
4,20,章タイトルスライド,"・自分の学習記録が、そのままAIの頭脳になる
・運用サイクルと本質メッセージ",最後に、このAIを育てていくという視点を渡す。日々の学習記録の価値が根本から変わる話をする。
4,21,NotebookLMは、作って終わりの道具じゃない,"・新しい単元に入ったら、そのノートを追加
・テストが終わったら、不要なソースを整理
・学期が変われば、ソースごと入れ替える
・一度セットしたら固定ではなく、学習と一緒に育てていく",ソースの選び方と、NotebookLM×Gemsの役割分担まで掴めた。これで設計図は揃った。ここで最後に、もう一つの視点を渡す。このAI、作って終わりじゃない。新しい単元に入ったら、そのノートを追加。テストが終わったら、不要なソースを整理。学期が変われば、ソースごと入れ替える。一度セットしたら固定ではなく、学習と一緒に育てていくのが本質だ。
4,22,学習記録そのものが、未来の自分専用AIの素材,"・ノートを書く、プリントを整理する、まとめを作る
・これまで「勉強の副産物」だった行為が、すべてAIの頭脳になる素材
・整理された学習記録を持っている人ほど、AIの恩恵が大きい
・これは、これまでになかった学習体験",ここに気づくと、日々の学習の意味が変わる。ノートを書く行為、プリントを整理する行為、まとめを作る行為。これまで「勉強の副産物」だったものが、全部、未来の自分専用AIの頭脳になる素材だ。つまり、自分の学習記録が、そのままAIの知識になる。一つだけ覚えて帰ってほしい。整理された学習記録を持っている人ほど、AI学習の恩恵が大きい時代が来た。これ、めちゃくちゃ強いことだと思わないか。
4,23,今日の一歩：1科目のノートとプリントを集める,"・Step 1：自分の科目を一つ選ぶ
・Step 2：手元のノートとプリントを集める
・Step 3：それを NotebookLM に渡してみる
・この3ステップから、すべてが始まる",今日から始められることはシンプルだ。自分の科目を一つ選ぶ。手元のノートとプリントを集める。それを NotebookLM に渡してみる。始まりは、これだけでいい。いきなり完璧を目指さなくていい。一歩を踏み出すことで、この講座で話した全部が腹落ちする。
4,24,次の一歩：人格を設計する『Gems編』へ,"・まず：教材を持たせる設計は、今日で完成
・次に：どう教えてくれる先生かを自分で設計する番
・最後に：姉妹講座『Gems編』で、人格の設計思想を手に入れる
・この流れで、あなたの専属の先生が立ち上がる",教材を持たせる設計は、今日で完成だ。次に進むべきは、どう教えてくれる先生かを自分で設計する番。姉妹講座『Gems編』で、人格の設計思想を手に入れてほしい。NotebookLMとGemsの両輪が揃ったとき、あなた専属の先生が立ち上がる。一緒に組み立てていこう。
4,25,いってらっしゃい,,いってらっしゃい。
