章,スライド番号,台本
1,11,"この章のまとめだ。関数は「代入する」ではなく「読み取る」もの。ここまでで3つのプロンプトパターンを整理した。パターン1で式から情報を読み取る。パターン2でグラフの動きを視覚化する。パターン3で文章題を翻訳する。この3つさえ使えれば、今後どんな関数問題に出会っても自力で読み解ける。代入で乗り切ろうとする人と、読み取りで進む人。今日の時点では差は見えないかもしれない。でも3ヶ月後には圧倒的な差が出る。これは才能の差じゃなくて、やり方の差だ。3つのパターンを覚えただけでもすでに一歩前に出ている。自信を持っていい。次の章では、この3パターンを使って、1問の関数問題をAIと壁打ちしながら読み解いていく流れを見せる。こう聞いたらこう返ってくる、そこからさらにこう掘り下げるというリアルなキャッチボールを追体験してほしい。"
2,12,"この章で身につけるのは、Ch1のプロンプトパターンを使って、AIと4ステップの対話で1問の関数問題を読み解く流れだ。なぜこの章が必要か。プロンプトの型を知っただけでは、まだ使えるにはならない。1問の中でどう掘り下げていくか、そのプロセスを体感する必要があるからだ。この章では、「ｘが2増加するとｙが4増加する」という文章題を題材に、最初の問いから、AIの回答、掘り下げの問い、自分の言葉での確認まで、実際の対話フロー全体をスライドの中で追体験してもらう。これを見たあと、自分でも同じように掘り下げられるイメージが持てる。それがこの章のゴールだ。安心してついてきてほしい。"
2,13,"このスライドで伝えたいのは、プロンプトの型を知っただけでは使えるにならないということだ。理由はシンプル。関数の理解は、1回質問して答えが返ってくれば終わり、というほど浅くない。たとえば、AIに「この式から何を読み取るの？」と聞いて、「傾きと切片です」と返ってきたとする。それで分かった気になって終わるのが一番まずい。なぜまずいのか。傾きと切片という単語は分かったけど、それがグラフ上でどう動くのか、なぜ大事なのかはまだ理解できていないからだ。そこから「じゃあその傾きはグラフ上でどう動くの？」「切片ってなんで大事なの？」と掘り下げていく対話ができて、初めて理解が定着する。型を持っていても、掘り下げがなければ機械的な応答で終わる。対話があって初めて、型が武器に変わる。"
2,14,"ここで伝えるのは、AIとの対話を回すための4つのステップだ。なぜ4ステップなのか。対話をフリースタイルでやると、どこから掘り下げていいか分からなくなって途中で止まる。ステップ化すれば、詰まっても「次は何をすればいいか」が明確になる。4ステップはこうだ。Step 1は最初の問い。パターン1かパターン3を使って情報を引き出す。Step 2はAIの回答を受け取るフェーズ。返ってきた内容を「ふーん」で流さず、頭の中で動かす。Step 3は掘り下げの問い。最初の回答に対して「じゃあそれは数字でいうとどうなるの？」と踏み込む。Step 4は定着フェーズ。自分の言葉で「つまり〇〇ってこと？」と言い換える。この4つを回すと、1問から得られる学びが何倍にも広がる。では次のスライドから、具体的な対話を見ていこう。"
2,15,"Step 1、最初の問いだ。今回の題材は「ｘが2増加するとｙが4増加する」という文章題。これをグラフ上の動きに翻訳したい。そこで投げるプロンプトはこうだ。「『ｘが2増加するとｙが4増加する』ってグラフ上でどういう動き？図を描くヒントを教えて。」これはパターン3の「問題の意図を翻訳させる」型を使っている。なぜこの型から始めるのか。文章題の条件を言葉のまま眺めても、何をすればいいか分からないからだ。最初にグラフの動きに変換してもらうと、その後の思考がすべて具体的になる。問いの形はシンプルだ。「こういう条件をグラフ上で言うとどういう動き？」と聞けばいい。小難しい言葉遣いはいらない。このままGeminiに投げてみる。"
2,16,"Step 2、AIの回答を受け取る。この問いに対して、Geminiはこう返してくる。「右に2歩進んで、上に4歩登る階段のイメージです」。ここで大事なのは、この例えを「ふーん」で流さないこと。例え話が出てきたら、頭の中でその動きを具体的にイメージする。階段を思い浮かべる。一段が右に2、上に4。その一段を登っている自分を想像する。この瞬間に、文字情報がイメージに変わる。関数を「読める」というのは、つまりこの状態のことだ。数式や文字列を見たときに、頭の中でグラフや動きが浮かぶ。それが読み取りの本体だ。AIの出す例えを受け身で読むんじゃなく、自分の頭で再生することが決定的に大事だ。ではここからどう掘り下げるか、次のStep 3を見ていこう。"
2,17,"Step 3、掘り下げの問いだ。例えを受け取って頭に残った。でもこのままだとイメージ止まりで、問題を解くところまでは行けない。ここで数字に戻す問いを投げる。「じゃあ、その階段の『傾き』は数字で言うといくつになるの？計算式も教えて。」これはパターン1と2を組み合わせた掘り下げだ。階段のイメージを、関数用語の「傾き」に接続する。さらに「計算式も教えて」と付け加えることで、どうやって求めるかまで引き出す。この一手間が、次に同じパターンの問題を見たときに自分で解ける力を作る。掘り下げの問いは難しく考えなくていい。「じゃあそれは数字で？」「じゃあそれを式で表すと？」「具体的な数値は？」。この3つのフレーズを覚えておけば、どんな対話でも深掘りできる。"
2,18,"Step 4、AIの回答と定着だ。Step 3の掘り下げに対して、AIはこう返す。「変化の割合、つまり傾きは、ｙの増加量÷ｘの増加量。この場合は4÷2＝2になります」。ここで受講者の頭の中でパチッと何かが噛み合う。「あ、この問題文の条件は、最初から傾きが2っていう情報を隠し持っていたのか」と気づく。この気づきが定着だ。なぜこの気づきが重要か。これ以降、同じパターンの問題を見たとき、瞬時に「あ、傾きは△÷〇だな」と計算できるようになるからだ。文章題の条件が、もう「読めるもの」に変わっている。最初は「ｘが何増加するとｙが何増加する」というフレーズを見るだけで警戒していたはずだ。でも今は違う。この感覚を何度も繰り返すことで、関数の読み取り力が育っていく。"
2,19,"ここで一つ、強力なカードを紹介する。Geminiには画像生成機能がある。「この階段のイメージをグラフにして見せて」と頼めば、関数のグラフ画像を実際に描いてくれる。なぜこれが強いのか。数式だけで考えるより、視覚で理解が加速するからだ。頭の中のイメージと、AIが描いた実際のグラフを見比べることで、自分の理解が合っているかどうかも確認できる。具体的な使い方はこうだ。Step 4で傾きが2だと確認したあとに、「この関数のグラフを実際に描いて見せて」と頼む。出てきたグラフで、傾きと切片が視覚的に確認できる。文章題を読んだだけでは浮かばなかった形が、目の前に現れる。この「言葉→例え→数字→グラフ」の一連の流れを通ると、1問からの学びが何倍にも広がる。使えるツールは全部使えばいい。"
2,20,"最後に、自走の極意だ。AIの回答を丸呑みするのは一番まずい。必ず、自分の言葉で「つまり〇〇ってこと？」と言い換える。なぜこれが大事か。自分の言葉で言い換えないと、ただAIの回答を読んだだけで終わる。言い換える行為自体が、理解を自分のものに変える。具体例を出そう。「つまり、文章題でｘが〇増加するとｙが△増加するって書かれていたら、それは傾きが△÷〇って教えてくれてるってこと？」とAIにぶつける。合っていたら「その通り」と返ってくるし、ズレていれば訂正してくれる。この確認プロセスで理解が自分のものになる。AIを相棒にして、一緒に考えて、最後は自分で言語化する。この姿勢があるかどうかで、3ヶ月後の関数力に決定的な差が出る。答えを受け取るだけの人と、自分で確認する人。主役は常にあなただ。"
2,21,"この章のまとめだ。AIとの対話は「問い→回答→掘り下げ→言い換え」の4ステップループだ。1問の中にこれを入れるだけで、学びが一気に深くなる。そして今日の一番のキモはここだ。文章題・式・グラフは、全部「同じ情報の別表現」でしかない。ｙ＝2ｘという式、右上がりのグラフ、「ｘが増えるとｙも増える」という言葉。どれも同じことを言っている。AIに翻訳させれば、全部がつながる。文章題でつまずく人は、実は翻訳でつまずいている。AIに翻訳させる癖をつければ、それだけで関数の見え方が変わる。ここまでで、プロンプトの型も対話の流れも手に入った。でもここで一つ問題が残っている。この対話、どこに残すか。次の章で、対話を使い捨てにしないための仕組みを作る。"
3,22,"この章で身につけるのは、AIとのやり取りを「使い捨て」にしないための方法だ。NotebookLMを使って、自分専用の関数コーチを作る。なぜこれが必要か。前の章で見た通り、AIとの壁打ちには価値がある。でもそのやり取りがどこにも残っていなかったら、テストのたびにゼロからやり直しになる。それはもったいない。NotebookLMは、自分の教材だけをベースに答えてくれるGoogleの無料AIツールだ。学習メモやプリントを放り込めば、自分専用のコーチが出来上がる。比例で学んだ「傾き」の感覚は、一次関数で「変化の割合」として再登場する。過去の対話が残っていれば、単元が変わっても学びが積み重なっていく。この章を終える頃には、NotebookLMに教材をアップロードして活用する方法がわかっている。難しい操作は一切ない。安心して進もう。"
3,23,"このスライドで伝えたいのは、AIとのやり取りを一回きりで終わらせるのはもったいないということだ。理由は明確。GeminiやChatGPTで聞いた内容は、履歴の中に埋もれていく。テスト前に「あのとき階段の例えで納得した対話、どこだっけ」と探し回ることになる。しかも関数は単元全体がつながっている。比例で納得した「右に進んだら上に上がる」という感覚が、一次関数の「変化の割合」でも使える。でも過去の対話が埋もれていると、単元が変わるたびにゼロから聞き直すことになる。これでは堂々巡りだ。たとえば、3週間前に階段の例えで傾きを理解したとする。テスト前にその対話を探そうとしたら、どのチャットだったか思い出せない。結局もう一回聞き直すか、諦めて代入で乗り切ろうとする。「それ、自分もやりそう」と思った人。その問題を解決するのがNotebookLMだ。次のスライドで紹介する。"
3,24,"NotebookLMの核心はこれだ。「自分がアップロードした資料だけをベースに答えてくれる」。普通のAI、たとえばGeminiやChatGPTはインターネット上の全情報をもとに答える。だから時々、自分の勉強範囲とはズレた答えが返ってくることがある。NotebookLMは違う。自分が入れた教材の範囲でしか答えない。たとえば、学校で使っている教科書の比例・反比例のページだけをアップロードしたら、その範囲の内容に基づいた答えが返ってくる。テスト範囲に合わせてソースを入れれば、テスト範囲に特化したコーチが出来上がる。関係ない情報に振り回されることがないから、自分の勉強に集中できる。これがNotebookLMの最大の強みだ。関数学習に絞った自分だけのコーチが、無料で作れる。次のスライドで具体的な使い方を見ていこう。"
3,25,"NotebookLMの関数学習での使い方を3つ整理する。なぜ3つに整理するか。使い方が曖昧だと結局使わなくなるからだ。「こういうときはこう使う」がはっきりしていれば、習慣になりやすい。1つ目、前の章で学んだ4ステップ対話フローでAIとやり取りした内容をメモにして放り込む。階段の例えで傾きが分かった対話を、コピーしてNotebookLMに入れる。2つ目、学校のプリントや教科書の関数単元のページをPDFにしてアップロードする。3つ目、テスト前に「この範囲で読み取り方を間違えやすいポイントを整理して」と聞く。たとえばテスト1週間前。プリントと教科書をNotebookLMに入れて、自分が読み取り間違えやすそうなところはと聞く。自分の教材ベースだから的外れな答えが返ってこない。3つ全部やらなくてもいい。まずは1つ目だけやってみるだけで効果がわかる。次のスライドで始め方を見よう。"
3,26,"NotebookLMの始め方を説明する。手順は4ステップだけだ。なぜ簡単なのか。NotebookLMはGoogleが作ったサービスで、Googleアカウントがあればすぐに使える。新しくアカウントを作る必要はない。学校でGoogleアカウントを持っている人も多いはずだ。手順はこうだ。まずGoogleで「NotebookLM」と検索して開く。Googleアカウントでログインする。新しいノートブックを作成を押す。ソースを追加で教材を放り込む。以上。教材の入れ方は2パターンある。テキストならコピーして貼り付ける。プリントや教科書ならスマホで写真を撮ってPDFにすればいい。Google Driveに入っているファイルなら直接追加もできる。「本当にこれだけ？」と思うかもしれないが、本当にこれだけだ。次のスライドで、入れた後に何ができるかを見せる。"
3,27,"ソースを入れたら、あとは聞くだけ。これで自分専用の関数コーチが完成する。なぜ「聞くだけ」で完成するのか。NotebookLMはアップロードされた教材を自動的に読み込んで、その内容をベースに回答を生成するからだ。設定も調整もいらない。たとえばこう聞く。「この範囲で自分が読み取り間違えやすそうなところはどこ？」「傾きと変化の割合の関係をもう一回整理して」。NotebookLMは自分の教材の中身だけを見て答える。インターネット上の関係ない情報には引っ張られない。さらに、教材を追加するほどコーチは賢くなる。最初はプリント1枚でもいい。使いながら少しずつ教材を足していけばいい。完璧に揃えてからスタートする必要はない。では、この章のまとめに入ろう。"
3,28,"この章のまとめだ。NotebookLMを使えば「読み取る→対話→ストック→復習」のサイクルが回る。Ch1で学んだ3つのプロンプトパターンでAIに読み取り方を引き出す。Ch2の4ステップ対話フローで理解を深める。その内容をNotebookLMにストックする。テスト前にNotebookLMから引き出して復習する。このサイクルが、関数分野を自走で攻略する仕組みそのものだ。ポイントは、全部自分のペースでやれること。塾の授業みたいに時間が決まっているわけでもないし、先生の都合に合わせる必要もない。自分が「読めない」と思った瞬間にAIに問いを投げて、納得したらストックする。それだけでいい。ここまでで道具も方法も環境も全部揃った。次の章で全体を整理して、最初の一歩を明確にする。"
4,29,"最終章だ。ここまでで道具も聞き方も環境も全部揃った。この章では全体を整理して、最初の一歩を明確にする。なぜ整理が必要か。情報は整理しないと行動に変わらないからだ。たくさんのことを学んでも「で、何からやればいいの？」が不明確だと、結局何もしないまま終わる。たとえば、ジムに入会して器具の使い方を一通り教えてもらった直後を想像してほしい。全部わかったはずなのに、いざ一人で来ると「何からやればいいんだっけ」となる。それと同じだ。だからここで整理する。迷わず最初の一歩を踏み出せるように。安心してついてきてほしい。"
4,30,"はっきり言う。道具が揃っただけでは何も変わらない。理由は単純だ。筋トレの器具を買っただけでは筋肉がつかないのと同じ。知識を行動に変えないと、結果は出ない。ここまでで全部揃っている。関数を読み解くための3つのプロンプトパターン。AIとの4ステップ対話フロー。NotebookLMで自分だけの学習環境を作る方法。この3つが揃っている状態は、正直かなり強い。でも、大事なのはここからだ。「わかった」と「やった」の間には大きな溝がある。知識を行動に変えるのは、あなた自身だ。次のスライドで、手に入れたものを整理する。"
4,31,"この動画で手に入れたものを3つに整理する。なぜ整理するか。頭の中で散らかっていると行動に移せないからだ。3つに絞って整理することで、何ができるようになったかが明確になる。1つ目、関数を読み解くための3つのプロンプトパターン。読み取るべき情報を整理させる、変化のイメージを視覚化させる、問題の意図を翻訳させる。この3つを使えば、どんな関数問題でも読み解ける。2つ目、AIとの4ステップ対話フロー。問いを投げる、回答を受け取り頭で動かす、掘り下げの問いを投げる、自分の言葉で言い換える。このループを回すだけで、1問からの学びが何倍にも広がる。3つ目、NotebookLMで自分だけの学習環境を作る方法。この3つが手元にある。あとはやるだけだ。次のスライドで、今日やることを1つだけ決める。"
4,32,"今日やること。1つだけでいい。なぜ1つだけか。やることが多いと結局何もやらないからだ。最初の一歩は小さくていい。小さい一歩を踏み出せば、2歩目は自然に出る。やることはこうだ。この動画を見終わったら、Geminiを開く。今一番「これ読めない」と思っている関数の式を1つ思い浮かべる。そしてパターン1のプロンプトで聞いてみる。「ｙ＝−3ｘ＋5のグラフを描くとき、式から最初に読み取るべき2つの情報は何？どうしてそれが大事なの？」これだけだ。返ってきた答えを受けて、Step 3の掘り下げ問いを投げる。「その傾きがグラフ上でどういう動きになるか、坂道で例えて」。そしてStep 4で自分の言葉で言い換える。「つまり、切片はグラフのスタート地点で、傾きは進むたびにどう動くかってこと？」。この4ステップを1回やるだけで「自分でできるな」という感覚がつかめる。そこまでいったら、NotebookLMに放り込む。最初の1サイクルが完成する。"
4,33,"今回は以上になる。ここからはあなたが前に踏み出す番だ。関数は代入の作業じゃない。読み取りの技術だ。読めるようになれば、応用問題も、初見の問題も、怖くなくなる。そして読み取るための道具は、もう全部手元にある。もし途中で「やり方忘れたな」と思ったら、この動画を見返してほしい。何度でも見ていい。見返すたびに理解が深くなる。NotebookLMにストックした内容を見返すのもいい。全部、自分のペースでやれる。最後に一つだけ。AIを使っても、問いを投げるのは自分だ。考えるのも、言い換えるのも、納得するのも、全部自分。AIは最強の相棒だけど、主役はあなただ。全力でいってらっしゃい。"
