章,スライド番号,スライドタイトル,スライド用テキスト,ミニ台本
2,13,型を知っただけでは「使える」にならない,"重要な事実:
・プロンプトの型を知る≠使いこなす
・関数の理解は1問1答では深まらない
・掘り下げる対話があって初めて定着する","前の章で3つのプロンプトパターンを整理した。ここで大事な話をする。型を知っただけでは、まだ「使える」にはならない。関数の理解は、1回質問して答えが返ってくれば終わり、というほど浅くない。AIに「この式から何を読み取るの？」と聞いて、傾きと切片ですと返ってきたとする。それで分かった気になって終わるのが一番まずい。そこから「じゃあその傾きはグラフ上でどう動くの？」と掘り下げていく対話ができて、初めて理解が定着する。"
2,14,対話フローは4ステップで回す,"4ステップ:
Step 1. 最初の問いで情報を引き出す
Step 2. AIの回答を受け取り、頭で動かす
Step 3. 掘り下げの問いで別角度を足す
Step 4. 自分の言葉で言い換えて定着させる","AIとの対話フローは、4つのステップで回す。Step 1は最初の問いだ。パターン1かパターン3を使って関数の情報を引き出す。Step 2はAIの回答を受け取るフェーズ。返ってきた内容を「ふーん」で流さず、例え話が出てきたら頭の中で具体的にイメージする。Step 3は掘り下げの問い。最初の回答に対して「じゃあそれは数字で言うとどうなるの？」と一歩深く踏み込む。Step 4は定着フェーズ。自分の言葉で「つまり〇〇ってこと？」と言い換える。これで理解が自分のものになる。"
2,15,Step 1：文章題の条件をグラフに翻訳させる,"最初の問い:
「『ｘが2増加するとｙが4増加する』ってグラフ上でどういう動き？図を描くヒントを教えて」
→ パターン3「問題の意図を翻訳させる」型","具体的な対話フローを見ていこう。1問の関数問題を読み解くリアルな流れだ。Step 1。最初の問いはこうだ。「『ｘが2増加するとｙが4増加する』ってグラフ上でどういう動き？図を描くヒントを教えて。」これはパターン3の問題の意図を翻訳させる型だ。文章題の条件をグラフ上の動きに変換してもらう。ここがスタート地点になる。"
2,16,Step 2：AIが「階段の例え」で返してくる,"AIの回答例:
「右に2歩進んで、上に4歩登る階段のイメージです」
→ この例えを頭の中で具体的に動かす","Step 2。AIの回答はこう返ってくる。「右に2歩進んで、上に4歩登る階段のイメージです」。ここで大事なのは、この例えを頭の中でちゃんと動かしてみること。階段をイメージして、その一段を登っている自分を想像する。この瞬間に、文字情報がイメージに変わる。AIが出してくれた例えを、自分の頭の中で再生することが読み取りの第一歩だ。"
2,17,Step 3：イメージを数字に戻す掘り下げの問い,"掘り下げの問い:
「じゃあ、その階段の『傾き』は数字で言うといくつになるの？計算式も教えて」
→ パターン1と2を組み合わせた掘り下げ","Step 3。ここで踏み込む。「じゃあ、その階段の傾きは数字で言うといくつになるの？計算式も教えて。」これはパターン1と2を組み合わせた掘り下げだ。イメージを数字に戻す作業になる。例えを受け取るだけだと感覚止まりで終わる。数字に戻すことで、次に似た問題が出たときに使える形に変換される。"
2,18,Step 4：「問題文に隠れていた情報」への気づき,"AIの回答:
「変化の割合（傾き）＝ 4 ÷ 2 ＝ 2」

受講者の気づき:
「問題文の条件は『傾きが2』という情報を
隠し持っていたのか」","Step 4。AIはこう返す。「変化の割合、つまり傾きは、ｙの増加量÷ｘの増加量。この場合は4÷2＝2になります」。ここで受講者の頭の中でパチッと何かが噛み合う。「あ、この問題文の条件は、最初から傾きが2っていう情報を隠し持っていたのか」と気づく。この気づきが定着だ。ここまで来ると、文章題で似た条件が出てきたとき、瞬時に傾きを計算できるようになる。"
2,19,Geminiはグラフ画像まで描いてくれる,"強力なカード:
Geminiの画像生成機能で
関数のグラフを視覚化

依頼例:
「この階段のイメージをグラフにして見せて」","ここで一つ、強力なカードを紹介する。Geminiには画像生成機能がある。「この階段のイメージをグラフにして見せて」と頼めば、関数のグラフ画像を実際に描いてくれる。数式だけで考えるより、視覚で理解が加速する。頭の中のイメージと、AIが描いた実際のグラフを見比べることで、自分の理解が合っているかどうかも確認できる。"
2,20,自走の極意：「つまり○○ってこと？」で確認する,"最重要ルール:
AIの回答を丸呑みしない
必ず自分の言葉で
「つまり○○ってこと？」と言い換える

→ 合っていたら「その通り」
→ ズレていたら訂正してくれる","最後に、自走の極意だ。AIの回答を丸呑みするのは一番まずい。必ず、自分の言葉で「つまり〇〇ってこと？」と言い換える。「つまり、文章題でｘが〇増加するとｙが△増加するって書かれていたら、それは傾きが△÷〇って教えてくれてるってこと？」とAIにぶつける。合っていたら「その通り」と返ってくるし、ズレていれば訂正してくれる。この確認プロセスで理解が自分のものになる。"
2,21,文章題・式・グラフは「同じ情報の別表現」,"まとめ:
・対話は「問い→回答→掘り下げ→言い換え」のループ
・文章題・式・グラフは同じ情報の別表現
・AIに翻訳させれば全部つながる","この章のポイントを整理する。AIとの対話は、問いを投げる、回答を受ける、掘り下げる、自分の言葉で言い換える、という4ステップのループだ。1問の中にこれを入れるだけで、学びが一気に深くなる。そして今日の一番のキモはここだ。文章題・式・グラフは、全部「同じ情報の別表現」でしかない。AIに翻訳させれば、全部が繋がる。文章題でつまずく人は、実は翻訳でつまずいている。次の章で、この対話を使い捨てにしない仕組みを作る。"
3,22,章タイトルスライド,"NotebookLMで自分専用の数学コーチを作る
学習メモや教材PDFをNotebookLMにアップロードし、自分専用の関数コーチとして日常的に使える","この章では、Ch2のような対話を一回きりで終わらせずストックして再利用する仕組みを作る。Googleが提供するNotebookLMというツールを使い、自分の教材だけをベースに答えてくれる自分専用の関数コーチを構築する。テスト前の復習も、宿題で詰まったときも、いつでも自分の教材ベースで的確な答えが返ってくる環境が手に入る。"
3,23,AIとの対話を一回きりで終わらせない,"問題提起:
・Gemini/ChatGPTのやり取りは整理されず埋もれる
・関数は単元全体がつながっている
・過去の対話が埋もれると同じ質問を繰り返す羽目に","前の章で、AIと4ステップの対話フローで1問を読み解く流れを見た。比例、反比例、一次関数。どの単元でも同じ型で読み解けることがイメージできたと思う。でも一つ問題がある。その対話、どこに残っている？GeminiやChatGPTで聞いた内容は、履歴を探せば見つかるかもしれない。でも整理されていない。関数は単元全体がつながっていて、比例で学んだ傾きの感覚は一次関数で変化の割合として再登場する。過去の対話が埋もれていると、同じ質問を何度もやり直すことになる。"
3,24,NotebookLMは「自分の教材だけ」で答えるAI,"NotebookLMと普通のAIの違い:
・普通のAI → ネット上の全情報がベース
・NotebookLM → 自分がアップロードした資料のみ
→ 回答がブレず、自分の勉強に直結","ここを解決するのがGoogleのNotebookLMだ。NotebookLMは無料のAIツールで、普通のAIとの最大の違いは自分がアップロードした資料だけをベースに答えてくれること。GeminiやChatGPTはインターネット上の全情報を参照して答えるけど、NotebookLMは自分が入れた教材の範囲でしか答えない。だから回答がブレにくく、自分の勉強内容に直結した答えが返ってくる。的外れな答えに振り回されることがなくなる。"
3,25,関数学習での活用シーン3つ,"使い方3つ:
1. Ch2の対話メモを放り込む
2. プリント・教科書の関数ページをPDFでアップ
3. テスト前に「読み取りを間違えやすいポイント」を聞く","関数学習での使い方は大きく3つ。1つ目は、Ch2のような対話フローでAIとやり取りした内容をメモにして放り込む。2つ目は、学校のプリントや教科書の関数単元のページをPDFにしてアップロードする。3つ目は、テスト前にNotebookLMに、この範囲で読み取り方を間違えやすいポイントを整理してと聞く。自分の教材ベースだから、的外れな答えが返ってこない。この3つを押さえるだけで、学習の質が一段上がる。"
3,26,NotebookLMは検索してログインするだけで使える,"手順:
1. Googleで「NotebookLM」と検索
2. Googleアカウントでログイン
3. 新しいノートブックを作成
4. ソースを追加","手順はシンプルだ。まずGoogleでNotebookLMと検索して開く。Googleアカウントでログインしたら、新しいノートブックを作成を押す。ここにソースを追加で自分の教材を放り込んでいく。たとえばCh2の階段の傾きの対話でGeminiとのやり取りが刺さった部分をコピーして、テキストとしてそのまま貼り付ける。学校のプリントならスマホで写真を撮ってPDFにすればいい。教科書の関数のページも撮影してPDFにすればOKだ。"
3,27,教材を入れれば自分専用の関数コーチ完成,"質問例:
・「この範囲で読み取り間違えやすいところは？」
・「傾きと変化の割合の関係をもう一回整理して」
→ 自分の教材ベースだから的確","ソースを入れたら、あとはNotebookLMに聞くだけだ。「この範囲で自分が読み取り間違えやすそうなところは？」「傾きと変化の割合の関係をもう一回整理して」。NotebookLMは自分がアップロードした教材の中身だけを見て答える。インターネット上の関係ない情報に引っ張られない。これで自分だけの関数コーチが完成する。教材を追加するほどコーチは賢くなっていく。"
3,28,「読む→対話→ストック→復習」のサイクルを回す,"まとめ:
・NotebookLMで自分専用の関数コーチが完成
・対話を使い捨てにせずストックする
・読む→対話→ストック→復習のサイクルが回る","NotebookLMを使えば、AIとの対話や自分の教材を一箇所に集めていつでも引き出せる状態が作れる。Ch1で学んだ3つのプロンプトパターンで読み取り方を引き出して、Ch2の4ステップ対話フローで理解を深めて、その内容をNotebookLMにストックする。テスト前にはこの範囲のポイントを整理してと聞く。この「読み取る→対話する→ストックする→復習する」のサイクルが、関数分野を自走で攻略する仕組みになる。全部自分のペースでやれる。"
4,29,章タイトルスライド,"ここからはあなたの番
学んだ内容を整理し、今日からAIに関数の問いを投げて自走学習を開始する","ここまでで、プロンプトの型も対話フローも学習環境も全部揃った。ここが一番大事なところだ。道具が揃っただけでは、関数が読めるようにはならない。ここから先は、自分で手を動かすフェーズになる。この章では全体を整理して、最初の一歩を明確にする。"
4,30,道具が揃っただけでは何も変わらない,"現状:
・プロンプト3種・対話フロー・学習環境すべて揃った
・でも「揃っただけ」では変化ゼロ
・知識を行動に変えるのは自分自身","ここまでで全部揃っている。関数を読み解くための3つのプロンプトパターン。AIとの4ステップ対話フロー。NotebookLMで自分だけの学習環境を作る方法。この3つが揃っている状態は、正直かなり強い。でも、筋トレの器具を買っただけでは筋肉がつかないのと同じで、道具が揃っただけでは関数は読めるようにならない。大事なのはここからだ。知識を行動に変えるのは、あなた自身だ。"
4,31,この動画で手に入れた3つの武器,"3つの武器:
1. 関数を読み解く3つのプロンプトパターン
2. AIとの4ステップ対話フロー
3. NotebookLMで学習をストック・再利用する方法","改めて整理する。この動画で手に入れたものは3つだ。1つ目は、関数を読み解くための3つのプロンプトパターン。読み取るべき情報を整理させる、変化のイメージを視覚化させる、問題の意図を翻訳させる。2つ目は、AIとの4ステップ対話フロー。問いを投げる、回答を受ける、掘り下げる、自分の言葉で言い換える。3つ目は、NotebookLMで自分だけの学習環境を作る方法。この3つが手元にある。あとはやるだけだ。"
4,32,今日やることは1つだけ,"最初の一歩:
Geminiを開いて、今つまずいている関数の式を1つ、パターン1で聞いてみる

例:「ｙ＝−3ｘ＋5のグラフを描くとき、式から最初に読み取るべき2つの情報は何？」","やることは1つだけでいい。この動画を見終わったら、Geminiを開いて、今一番これ読めないと思っている関数の式を1つ思い浮かべてほしい。そしてパターン1のプロンプトで聞いてみる。たとえば、ｙ＝−3ｘ＋5のグラフを描くとき、式から最初に読み取るべき2つの情報は何？どうしてそれが大事なの？これを投げるだけだ。返ってきた答えを受けてStep 3の掘り下げ問いを投げる。そしてStep 4で自分の言葉で言い換える。この4ステップを1回やるだけで、自分でできるなという感覚がつかめる。そこまでいったらNotebookLMに放り込む。最初の1サイクルが完成する。"
4,33,全力でいってらっしゃい,"関数は「代入」から「読み取り」へ
迷ったらこの動画を見返す
主役はあなた。全力でいってらっしゃい","今回は以上になる。ここからはあなたが前に踏み出す番だ。関数は代入の作業じゃない。読み取りの技術だ。読めるようになれば、応用問題も初見の問題も怖くなくなる。そして読み取るための道具は、もう全部手元にある。途中でやり方忘れたなと思ったら、この動画を見返してほしい。何度でも見ていい。見返すたびに理解が深くなる。NotebookLMにストックした内容を見返すのもいい。最後に一つだけ。AIを使っても、問いを投げるのは自分だ。考えるのも、言い換えるのも、納得するのも、全部自分。AIは最強の相棒だけど、主役はあなただ。全力でいってらっしゃい。"
