操作内容,台本
"入力欄に以下を一言一句そのまま貼り付けてEnterを押す。\n---\nあなたは事業企画コンサルタントです。以下のケースデータを読み、『成約率低下の原因』を頂点としたロジックツリーで網羅的に分解してください。\n\n出力ルール：\n- 大分類4〜5項目、各大分類の下に中分類2〜4項目\n- 必ずケースデータの数字を根拠として併記する\n- データから読めない推測項目には末尾に『（推測）』と明記する\n\n【ケースデータ】\n■業績：成約率10%（前年25%）／月間成約8件（前年20件）／月間売上1,840万（前年5,000万）\n■プロセス転換率：リード→商談60%（前年62%）／商談→提案45%（前年67%）／提案→成約37%（前年60%）\n■失注理由(n=48)：提案が課題に合わない36%／導入効果が不明確20%／競合が安い18%／検討時期でない14%／その他12%\n■組織：半年前に営業2名→5名に増員（新人3名）／ヒアリングシート・提案テンプレ未整備／新規開拓比率30%→55%",プロンプトはこちらです。コンサルタントとして網羅的に分解してもらう。ポイントは出力ルールの部分で、必ずデータの数字を根拠として併記してもらう、推測には印をつけてもらう、の2つです。これがないと、Claudeはそれっぽい答えを並べるだけになってしまい、検証不能なものが返ってきてしまいます。それでは送信します。
Claudeの出力が表示されるまで待つ。出力が完了したら、上から下までスクロールせず、最初の画面で3秒静止する。,はい、出ましたね。一緒に読んでいきましょう。
出力を上から順にマウスでなぞりながら読み上げる。特に『ターゲット顧客層のシフト』『新規開拓比率の増加』の項目で1秒静止する。,おお、いいですね。私が入れていなかった視点が出てきました。ターゲット顧客層のシフト、新規開拓比率の増加。これはデータの中に書いてあったのに、私のツリーでは拾えていなかったんです。こういう『見落としを拾ってもらう』のがAIの一番ありがたい使い方です。
Windowsキー+左矢印（Mac: Ctrl+左）でClaude画面を画面左半分に固定する。続けてタブ③のdraw.ioを開き、Windowsキー+右矢印（Mac: Ctrl+右）で右半分に配置する。,もっと分かりやすく見るために、画面を左右に分割します。左がClaude、右が自分のツリーです。
左右の画面を3秒間静止して映す。マウスで左（自作）→右（Claude）の順に追加項目を指し示す。,こうして並べると、はっきりしますね。Claudeのほうが視点は広いですね。ただ、ここで注意していただきたいのは、広いから正しいわけではない、ということです。Claudeは業界の文脈を知らないので、一般論として網羅しているだけです。出てきた項目すべてが今回のケースに当てはまるとは限りません。だからこそ、最後の判断は人間がやる必要があります。
タブ④『kikaku_実践_講座03_問題リスト』に切り替える。A1〜D1のヘッダ（カテゴリ／具体的な問題／根拠データ／影響度）を確認する。,では最後のStep4。問題リストに統合します。フォーマットはこちら。カテゴリ、具体的な問題、根拠データ、影響度の4列です。判断の基準を先にお伝えします。基準は2つだけ。『根拠データがあるか』『このケースに当てはまるか』。シンプルですね。
A2に『営業プロセス』、B2に『初回商談→提案の転換率が22pt低下』、C2に『プロセスデータ：45% vs 前年67%』、D2に『大』と入力する。,1行目から入れていきます。営業プロセスの転換率低下。プロセスデータという根拠があるので、影響度は『大』。
A3に『提案内容』、B3に『提案が課題に合っていない』、C3に『失注理由36%』、D3に『大』と入力する。A4に『提案内容』、B4に『導入効果が伝わっていない』、C4に『失注理由20%』、D4に『大』と入力する。,次に提案内容を2行。両方とも失注理由のデータで裏付けがあるので、迷わず『大』にします。
A5に『外部環境』、B5に『競合製品との価格差』、C5に『失注理由18%』、D5に『中』と入力する。,外部環境は競合の価格です。失注理由としては3番目なので、『中』に下げます。データはありますが、提案内容に比べると優先度は落ちますよね。
A6に『組織・体制』、B6に『ヒアリングの型が未整備（要検証）』、C6に『推測（新人増員と未整備の状況から）』、D6に『中』と入力する。,ここが今日一番伝えたいところです。組織体制の項目は、データで直接は裏付けられていません。あくまで推測です。なので『要検証』と明記して、影響度は『中』にします。データがないから捨てるのではなく、要検証ラベルをつけて残す。ここが大事なポイントです。あとで深掘りする候補として残しておきたいので。
A7に『ターゲット』、B7に『新規開拓比率の急増による難度上昇（要検証）』、C7に『推測（30%→55%への変化）』、D7に『中』と入力する。,Claudeが出してくれた新規開拓比率の項目も入れます。30%から55%という変化はデータがあるので根拠にはなります。ただ『それが原因で成約率が落ちた』という因果は推測です。なので同じく要検証で『中』にします。
問題リスト全体（A1:D7）を3秒間静止して映す。,はい、問題リストの完成です。6項目、4列、すべてに根拠か推測の印がついた状態。これが今日のゴールでした。お疲れさまでした。
画面分割を解除し、3つの成果物（As-Is/To-Be表、自作ツリー、問題リスト）を順番に3秒ずつ映す。,今日作ったものをもう一度見せますね。As-Is/To-Be表、ロジックツリー、問題リスト。この3点セットです。
そのまま話し続ける。,最後に振り返りましょう。今日やったのは4ステップでした。Step1でAs-Is/To-Beでギャップを数字で定義し、Step2でロジックツリーで原因を網羅的に分解、Step3でClaudeに補完してもらい、Step4で根拠データをもとに採否を判断して問題リストに統合する、という流れでしたね。
そのまま話し続ける。,そして、今日一番覚えて帰ってほしいのはこの順番です。『まず自分で考える、次にClaudeで広げる、最後に自分で判断する』。この順番を崩すと、AIの答えをそのまま使うだけになってしまい、自分の思考が止まってしまいます。AIは優秀な壁打ち相手ですが、判断する責任を持つのはみなさん自身です。これだけは絶対に忘れないでください。
そのまま話し続ける。,ここまでご覧いただきありがとうございました。本当にお疲れさまでした。この後、テキスト教材で同じことを今度はみなさん自身の手でやってみてください。私がやった通りに進めれば必ずできます。
問題リストの画面を映したまま話し続ける。最後にフェードアウト想定で2秒静止して終了。,次の講座では、今日作った問題リストを使って、5Whyで根本原因まで掘り下げていきます。それでは、また次の動画でお会いしましょう。
