章,スライド番号,スライドタイトル,スライド用テキスト,ミニ台本
1,11,暗記と理解の差は3ヶ月後に圧倒的に出る,"まとめ:
・暗記ではなく「なぜ？」が計算力の土台
・3パターンがあればどんなルールにも対応可能
・次の章で実際のAI操作画面を見せる","ここまでで、計算の仕組みをAIに聞くための3つのパターンを整理した。暗記で乗り切ろうとするのと、仕組みを理解して進むのとでは、3ヶ月後の計算力に圧倒的な差が出る。この3パターンさえ使えれば、今後どんな計算ルールに出会っても自力で突破できる。次の章では、今のプロンプトパターンを実際にAIで使っている画面を見せる。リアルなやり取りを見て、自分でもやれるイメージをつかんでほしい。"
2,12,章タイトルスライド,"実演・計算編
実際のAI操作画面で壁打ちの流れを体感する","【空白チャプター】録画映像を後から差し込む構成。このスライドは章の導入タイトルのみ。以降の実演内容は制作者が録画映像として追加する。尺目安：10〜20分。"
3,13,章タイトルスライド,"NotebookLMで自分専用の数学コーチを作る
学習メモや教材PDFをNotebookLMにアップロードし、自分専用の数学コーチとして日常的に使える","この章では、Ch1で学んだプロンプトパターンとAIでのやり取りを「使い捨て」にしない方法を身につける。Googleが提供するNotebookLMというツールを使って、自分の教材だけをベースに答えてくれる「自分専用の数学コーチ」を作る。これができれば、テスト前の復習も、宿題で詰まったときも、いつでも自分の教材ベースで的確な答えが返ってくる環境が手に入る。"
3,14,AIとのやり取りを一回きりで終わらせない,"問題提起:
・GeminiやChatGPTのやり取りは整理されずに埋もれる
・テスト前に「あの説明どこだっけ？」になる
・教材とAI回答がバラバラに存在する","前の章で、実際にAIに計算の仕組みを聞く流れを見た。納得できることがわかったと思う。でも一つ問題がある。そのやり取り、どこに残っている？GeminiやChatGPTで聞いた内容は、履歴を探せば見つかるかもしれないけど、整理されていない。テスト前に「あのとき納得した説明、どこだっけ？」と探し回ることになる。教材とAIの回答がバラバラに存在していると、結局また暗記に頼りたくなる。ここを解決するのがNotebookLMだ。"
3,15,NotebookLMは「自分の教材だけ」で答えるAI,"NotebookLMと普通のAIの違い:
・普通のAI → ネット上の全情報がベース
・NotebookLM → 自分がアップした資料だけがベース
→ 回答がブレにくく、自分の勉強に直結","NotebookLMはGoogleが作った無料のAIツールだ。普通のAIとの最大の違いは「自分がアップロードした資料だけをベースに答えてくれる」こと。GeminiやChatGPTはインターネット上のありとあらゆる情報をもとに答えるけど、NotebookLMは自分が入れた教材の範囲でしか答えない。だから回答がブレにくいし、自分の勉強内容に直結した答えが返ってくる。的外れな答えに振り回されることがなくなる。"
3,16,計算学習での活用シーン3つ,"使い方3つ:
1. AIとのやり取りメモを放り込む
2. プリント・教科書PDFをアップロード
3. テスト前に「間違えやすいポイント」を聞く","計算学習での使い方は大きく3つ。1つ目は、Ch1で学んだプロンプトパターンでAIとやり取りした内容をメモにして放り込む。2つ目は、学校のプリントや教科書のPDFをそのままアップロードする。3つ目は、テスト前にNotebookLMに「この範囲で間違えやすいポイントを教えて」と聞く。自分の教材ベースだから、的外れな答えが返ってこない。この3つを押さえるだけで、学習の質が一段上がる。"
3,17,NotebookLMの始め方は検索して開くだけ,"手順:
1. Googleで「NotebookLM」と検索
2. Googleアカウントでログイン
3. 新しいノートブックを作成
4. ソースを追加","手順はシンプルだ。まずGoogleで「NotebookLM」と検索して開く。Googleアカウントでログインしたら、「新しいノートブックを作成」を押す。ここに「ソースを追加」で自分の教材を放り込んでいく。たとえばCh1のプロンプトパターンでGeminiとやり取りした内容。わかりやすかった説明をコピーしてテキストとして貼り付ける。学校のプリントならスマホで写真を撮ってPDFにすればいい。教科書もページを撮影すればOKだ。"
3,18,教材を入れたら聞くだけで自分専用コーチ完成,"質問例:
・「この範囲で間違えやすそうなところは？」
・「分数の計算の仕組みをもう一回整理して」
→ 自分の教材ベースだから的確","ソースを入れたら、あとはNotebookLMに聞くだけだ。「この範囲で自分が間違えやすそうなところはどこ？」「分数の計算の仕組みをもう一回整理して」。NotebookLMは自分がアップロードした教材の中身だけを見て答える。インターネット上の関係ない情報に引っ張られない。これで自分だけの数学コーチが完成する。教材を追加するほどコーチは賢くなっていく。"
3,19,「聞く→ストック→復習」のサイクルを回す,"まとめ:
・NotebookLMで「自分専用の数学コーチ」完成
・やり取りを使い捨てにしない
・聞く→理解→ストック→復習のサイクルが回る","NotebookLMを使えば、AIとのやり取りや自分の教材を一箇所に集めて、いつでも引き出せる状態が作れる。Ch1で学んだ3つのプロンプトパターンで仕組みを理解して、その内容をNotebookLMにストックする。テスト前には「この範囲のポイントを整理して」と聞く。この「聞く→理解する→ストックする→復習する」のサイクルが、暗記に頼らない計算学習の仕組みになる。全部自分のペースでやれる。塾の時間割に合わせる必要はない。"
4,20,章タイトルスライド,"ここからはあなたの番
学んだ内容を整理し、今日からAIに問いかけて計算の自走学習を開始する","ここまでで、道具も聞き方も環境も全部揃った。でもここが一番大事なところだ。道具が揃っただけでは、計算ができるようにはならない。筋トレの器具を買っただけでは筋肉がつかないのと同じだ。ここから先は、自分で手を動かすフェーズになる。この章では全体を整理して、最初の一歩を明確にする。"
4,21,道具が揃っただけでは何も変わらない,"現状:
・ツールも聞き方も環境も揃った
・でも「揃っただけ」では変化ゼロ
・知識を行動に変えるのは自分自身","ここまでで全部揃っている。計算の仕組みをAIに聞くための3つのプロンプトパターン。実演で見たリアルなやり取りの流れ。NotebookLMで自分だけの学習環境を作る方法。この3つが揃っている状態は、正直かなり強い。でも、道具が揃っただけでは何も変わらない。大事なのはここからだ。知識を行動に変えるのは、あなた自身だ。"
4,22,この動画で手に入れた3つの武器,"3つの武器:
1. 仕組みを聞く3つのプロンプトパターン
2. AIとの壁打ちの実際の流れ
3. NotebookLMで学習をストック・再利用する方法","改めて整理する。この動画で手に入れたものは3つだ。1つ目は、計算の仕組みをAIに聞くための3つのプロンプトパターン。「なぜ？」を引き出す、「別の視点」を引き出す、「自分の理解」を検証する。この3つを使えば、どんな計算ルールに出会っても仕組みをつかめる。2つ目は、実際のAIとの壁打ちの流れ。聞いて、読んで、わからなければ角度を変えて聞き直す。3つ目は、NotebookLMで自分だけの学習環境を作る方法。"
4,23,今日やることは1つだけ,"最初の一歩:
Geminiを開いて、今一番「なんでそうなるの？」と思っている計算ルールを1つ、パターン1で聞いてみる","やることは1つだけでいい。この動画を見終わったら、Geminiを開いて、今一番「なんでそうなるの？」と思っている計算ルールを1つ思い浮かべてほしい。そしてパターン1のプロンプトで聞いてみる。返ってきた答えを読んで、ピンとこなかったらパターン2で別の角度から聞く。「こういうこと？」と思えたらパターン3で検証する。この流れを1回やるだけで「自分でできるな」という感覚がつかめる。そこまでいったら、NotebookLMに放り込む。最初の1サイクルが完成する。"
4,24,全力でいってらっしゃい,"学び方を変えた人が勝つ
迷ったらこの動画を見返す
主役はあなた。全力でいってらっしゃい","今回は以上になる。ここからはあなたが前に踏み出す番だ。計算は暗記ゲーじゃない。仕組みがわかれば、応用問題も初見の問題も怖くなくなる。そして仕組みを聞き出すための道具は、もう全部手元にある。途中で「やり方忘れたな」と思ったら、この動画を見返してほしい。何度でも見ていい。見返すたびに理解が深くなる。最後に一つだけ。AIを使っても、手を動かすのは自分だ。聞くのも、考えるのも、納得するのも、全部自分。AIは最強の相棒だけど、主役はあなただ。全力でいってらっしゃい。"
